timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674963017494,1049,User List,200,OK,Thread Group 1-110,text,true,,1560,134,5,5,https://random-data-api.com/api/v2/users,1049,0,691
1674963017789,949,User List,200,OK,Thread Group 1-111,text,true,,1576,134,5,5,https://random-data-api.com/api/v2/users,949,0,624
1674963018082,1001,User List,200,OK,Thread Group 1-112,text,true,,1534,134,5,5,https://random-data-api.com/api/v2/users,1001,0,647
1674963018387,1062,User List,200,OK,Thread Group 1-113,text,true,,1559,134,5,5,https://random-data-api.com/api/v2/users,1062,0,699
1674963018680,1033,User List,200,OK,Thread Group 1-114,text,true,,1567,134,5,5,https://random-data-api.com/api/v2/users,1033,0,673
1674963018980,1004,User List,200,OK,Thread Group 1-115,text,true,,1570,134,5,5,https://random-data-api.com/api/v2/users,1003,0,660
1674963019279,1077,User List,200,OK,Thread Group 1-116,text,true,,1565,134,5,5,https://random-data-api.com/api/v2/users,1077,0,711
1674963019580,980,User List,200,OK,Thread Group 1-117,text,true,,1560,134,5,5,https://random-data-api.com/api/v2/users,980,0,638
1674963019879,1007,User List,200,OK,Thread Group 1-118,text,true,,1547,134,5,5,https://random-data-api.com/api/v2/users,1007,0,649
1674963020178,1072,User List,200,OK,Thread Group 1-119,text,true,,1578,134,5,5,https://random-data-api.com/api/v2/users,1072,0,718
1674963020478,1069,User List,200,OK,Thread Group 1-120,text,true,,1546,134,5,5,https://random-data-api.com/api/v2/users,1069,0,703
1674963020779,1003,User List,200,OK,Thread Group 1-121,text,true,,1538,134,5,5,https://random-data-api.com/api/v2/users,1003,0,656
1674963021077,1084,User List,200,OK,Thread Group 1-122,text,true,,1557,134,5,5,https://random-data-api.com/api/v2/users,1084,0,727
1674963021377,953,User List,200,OK,Thread Group 1-123,text,true,,1532,134,5,5,https://random-data-api.com/api/v2/users,952,0,637
1674963014787,7899,User List,200,OK,Thread Group 1-101,text,true,,1574,134,5,5,https://random-data-api.com/api/v2/users,7899,0,724
1674963021974,979,User List,200,OK,Thread Group 1-125,text,true,,1545,134,5,5,https://random-data-api.com/api/v2/users,979,0,637
1674963022278,1035,User List,200,OK,Thread Group 1-126,text,true,,1554,134,5,5,https://random-data-api.com/api/v2/users,1035,0,681
1674963022576,1097,User List,200,OK,Thread Group 1-127,text,true,,1544,134,5,5,https://random-data-api.com/api/v2/users,1097,0,744
1674963021676,2195,User List,200,OK,Thread Group 1-124,text,true,,1562,134,5,5,https://random-data-api.com/api/v2/users,2195,0,742
1674963022878,1020,User List,200,OK,Thread Group 1-128,text,true,,1541,134,4,4,https://random-data-api.com/api/v2/users,1019,0,672
